timestamp,data_timestamp_raw,asset,mid,bid,ask,source,is_observed,collected_at
2026-01-06T03:36:11+00:00,03:36:11,BTC,93893.141,93889.47,93897.79,dom,1,2026-01-06T03:38:33.475834+00:00
2026-01-06T03:36:12+00:00,03:36:12,BTC,93893.151,93889.54,93897.76,dom,1,2026-01-06T03:38:34.473865+00:00
2026-01-06T03:36:13+00:00,03:36:13,BTC,93892.581,93889.14,93897.22,dom,1,2026-01-06T03:38:35.478600+00:00
2026-01-06T03:36:14+00:00,03:36:14,BTC,93892.191,93889.04,93896.83,dom,1,2026-01-06T03:38:36.488255+00:00
2026-01-06T03:36:15+00:00,03:36:15,BTC,93891.971,93888.64,93896.61,dom,1,2026-01-06T03:38:37.486530+00:00
2026-01-06T03:36:16+00:00,03:36:16,BTC,93891.951,93888.35,93896.51,dom,1,2026-01-06T03:38:38.492549+00:00
2026-01-06T03:36:17+00:00,03:36:17,BTC,93892.091,93888.45,93896.6,dom,1,2026-01-06T03:38:39.491287+00:00
2026-01-06T03:36:18+00:00,03:36:18,BTC,93893.651,93890.01,93898.26,dom,1,2026-01-06T03:38:40.495631+00:00
2026-01-06T03:36:19+00:00,03:36:19,BTC,93895.741,93892.39,93900.17,dom,1,2026-01-06T03:38:41.523844+00:00
2026-01-06T03:36:20+00:00,03:36:20,BTC,93896.271,93893.21,93900.44,dom,1,2026-01-06T03:38:42.526006+00:00
2026-01-06T03:36:21+00:00,03:36:21,BTC,93896.421,93892.86,93900.61,dom,1,2026-01-06T03:38:43.528875+00:00
2026-01-06T03:36:22+00:00,03:36:22,BTC,93896.431,93892.86,93900.61,dom,1,2026-01-06T03:38:44.552471+00:00
2026-01-06T03:36:23+00:00,03:36:23,BTC,93903.151,93898.7,93907.9,dom,1,2026-01-06T03:38:45.751752+00:00
2026-01-06T03:36:24+00:00,03:36:24,BTC,93909.391,93904.66,93914.43,dom,1,2026-01-06T03:38:46.755904+00:00
