timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size
2026-01-06 17:38:23.469000+00:00,2026-01-06 17:38:24.028223+00:00,503.469,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,163.31,66.17,66.17,163.31,0.91,95.9,0.94,667.0,0.06,667.0,0.09,95.9
2026-01-06 17:38:23.846000+00:00,2026-01-06 17:38:24.441713+00:00,503.846,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,163.31,66.17,66.17,163.31,0.91,95.9,0.94,667.0,0.06,667.0,0.09,95.9
2026-01-06 17:38:24.513000+00:00,2026-01-06 17:38:25.031813+00:00,504.513,0.925,0.92,0.93,0.07500000000000001,0.07,0.08,493.01,35.64,5.64,654.01,0.91,796.9,0.94,126.0,0.06,126.0,0.09,726.9
2026-01-06 17:38:24.962000+00:00,2026-01-06 17:38:25.446229+00:00,504.962,0.925,0.92,0.93,0.065,0.06,0.07,540.01,20.64,126.0,74.36,0.91,802.9,0.94,126.0,0.05,516.0,0.08,605.01
2026-01-06 17:38:25.436000+00:00,2026-01-06 17:38:26.045962+00:00,505.436,0.935,0.93,0.94,0.065,0.06,0.07,35.0,126.0,126.0,35.0,0.92,630.01,0.95,521.0,0.05,521.0,0.08,625.01
2026-01-06 17:38:25.983000+00:00,2026-01-06 17:38:26.459881+00:00,505.983,0.935,0.93,0.94,0.065,0.06,0.07,118.0,246.0,127.0,118.0,0.92,425.01,0.95,521.0,0.05,589.0,0.08,392.31
2026-01-06 17:38:26.548000+00:00,2026-01-06 17:38:27.041774+00:00,506.548,0.935,0.93,0.94,0.065,0.06,0.07,108.0,301.94,180.84,38.0,0.92,199.31,0.95,837.0,0.05,767.0,0.08,209.31
2026-01-06 17:38:26.972000+00:00,2026-01-06 17:38:27.478180+00:00,506.972,0.935,0.93,0.94,0.065,0.06,0.07,38.0,180.84,95.84,38.0,0.92,209.31,0.95,645.0,0.05,579.0,0.08,209.31
2026-01-06 17:38:27.561000+00:00,2026-01-06 17:38:28.038399+00:00,507.561,0.945,0.94,0.95,0.055,0.05,0.06,186.32,460.0,440.0,206.32,0.93,38.0,0.96,1527.99,0.04,1522.99,0.07,53.0
2026-01-06 17:38:28.010000+00:00,2026-01-06 17:38:28.489132+00:00,508.01,0.945,0.94,0.95,0.065,0.06,0.07,236.32,440.0,10.0,3.0,0.93,13.0,0.96,1234.99,0.05,440.0,0.08,284.01
2026-01-06 17:38:28.398000+00:00,2026-01-06 17:38:29.056340+00:00,508.398,0.935,0.93,0.94,0.065,0.06,0.07,103.0,10.0,10.0,103.0,0.92,389.01,0.95,480.0,0.05,480.0,0.08,389.01
