timestamp,timestamp_ms,asset,market_id,up_mid,up_bid,up_ask,down_mid,down_bid,down_ask,is_observed,collected_at
2026-01-06T03:21:07.033000+00:00,1767669667033,XRP,xrp-updown-15m-1767669300,0.43,0.42,0.44,0.5700000000000001,0.56,0.58,1,2026-01-06 03:21:07.042840+00:00
2026-01-06T03:21:08.035000+00:00,1767669668035,XRP,xrp-updown-15m-1767669300,0.435,0.43,0.44,0.565,0.56,0.57,1,2026-01-06 03:21:08.048677+00:00
2026-01-06T03:21:09.038000+00:00,1767669669038,XRP,xrp-updown-15m-1767669300,0.435,0.43,0.44,0.565,0.56,0.57,1,2026-01-06 03:21:09.056162+00:00
2026-01-06T03:21:10.222000+00:00,1767669670222,XRP,xrp-updown-15m-1767669300,0.45,0.44,0.46,0.555,0.55,0.56,1,2026-01-06 03:21:10.234796+00:00
2026-01-06T03:21:11.273000+00:00,1767669671273,XRP,xrp-updown-15m-1767669300,0.425,0.42,0.43,0.575,0.57,0.58,1,2026-01-06 03:21:11.308942+00:00
2026-01-06T03:21:12.240000+00:00,1767669672240,XRP,xrp-updown-15m-1767669300,0.425,0.42,0.43,0.575,0.57,0.58,1,2026-01-06 03:21:12.312275+00:00
2026-01-06T03:21:13.436000+00:00,1767669673436,XRP,xrp-updown-15m-1767669300,0.425,0.42,0.43,0.575,0.57,0.58,1,2026-01-06 03:21:13.483395+00:00
2026-01-06T03:21:14.458000+00:00,1767669674458,XRP,xrp-updown-15m-1767669300,0.425,0.42,0.43,0.575,0.57,0.58,1,2026-01-06 03:21:14.486541+00:00
2026-01-06T03:21:15.010000+00:00,1767669675010,XRP,xrp-updown-15m-1767669300,0.425,0.42,0.43,0.575,0.57,0.58,1,2026-01-06 03:21:15.504146+00:00
2026-01-06T03:21:16.473000+00:00,1767669676473,XRP,xrp-updown-15m-1767669300,0.42,0.41,0.43,0.575,0.57,0.58,1,2026-01-06 03:21:16.516737+00:00
2026-01-06T03:21:17.514000+00:00,1767669677514,XRP,xrp-updown-15m-1767669300,0.405,0.4,0.41,0.59,0.58,0.6,1,2026-01-06 03:21:17.529241+00:00
2026-01-06T03:21:18.507000+00:00,1767669678507,XRP,xrp-updown-15m-1767669300,0.415,0.41,0.42,0.585,0.58,0.59,1,2026-01-06 03:21:18.544814+00:00
2026-01-06T03:21:19.546000+00:00,1767669679546,XRP,xrp-updown-15m-1767669300,0.41000000000000003,0.4,0.42,0.6,0.59,0.61,1,2026-01-06 03:21:19.550597+00:00
2026-01-06T03:21:20.625000+00:00,1767669680625,XRP,xrp-updown-15m-1767669300,0.405,0.4,0.41,0.595,0.59,0.6,1,2026-01-06 03:21:20.642775+00:00
2026-01-06T03:21:21.600000+00:00,1767669681600,XRP,xrp-updown-15m-1767669300,0.455,0.45,0.46,0.545,0.54,0.55,1,2026-01-06 03:21:21.641590+00:00
2026-01-06T03:21:22.606000+00:00,1767669682606,XRP,xrp-updown-15m-1767669300,0.455,0.45,0.46,0.545,0.54,0.55,1,2026-01-06 03:21:22.649876+00:00
2026-01-06T03:21:23.632000+00:00,1767669683632,XRP,xrp-updown-15m-1767669300,0.455,0.45,0.46,0.545,0.54,0.55,1,2026-01-06 03:21:23.733443+00:00
2026-01-06T03:21:24.858000+00:00,1767669684858,XRP,xrp-updown-15m-1767669300,0.45999999999999996,0.45,0.47,0.54,0.53,0.55,1,2026-01-06 03:21:24.876251+00:00
2026-01-06T03:21:25.860000+00:00,1767669685860,XRP,xrp-updown-15m-1767669300,0.45999999999999996,0.45,0.47,0.54,0.53,0.55,1,2026-01-06 03:21:25.889020+00:00
2026-01-06T03:21:26.894000+00:00,1767669686894,XRP,xrp-updown-15m-1767669300,0.45,0.44,0.46,0.55,0.54,0.56,1,2026-01-06 03:21:26.903576+00:00
2026-01-06T03:21:27.904000+00:00,1767669687904,XRP,xrp-updown-15m-1767669300,0.41000000000000003,0.4,0.42,0.595,0.59,0.6,1,2026-01-06 03:21:27.916226+00:00
2026-01-06T03:21:28.916000+00:00,1767669688916,XRP,xrp-updown-15m-1767669300,0.405,0.4,0.41,0.595,0.59,0.6,1,2026-01-06 03:21:28.912409+00:00
2026-01-06T03:21:29.873000+00:00,1767669689873,XRP,xrp-updown-15m-1767669300,0.35,0.34,0.36,0.64,0.63,0.65,1,2026-01-06 03:21:29.919743+00:00
2026-01-06T03:21:30.901000+00:00,1767669690901,XRP,xrp-updown-15m-1767669300,0.345,0.34,0.35,0.655,0.65,0.66,1,2026-01-06 03:21:30.924781+00:00
2026-01-06T03:21:31.846000+00:00,1767669691846,XRP,xrp-updown-15m-1767669300,0.315,0.31,0.32,0.69,0.68,0.7,1,2026-01-06 03:21:31.928739+00:00
2026-01-06T03:21:32.906000+00:00,1767669692906,XRP,xrp-updown-15m-1767669300,0.28,0.27,0.29,0.72,0.71,0.73,1,2026-01-06 03:21:32.932187+00:00
2026-01-06T03:21:33.844000+00:00,1767669693844,XRP,xrp-updown-15m-1767669300,0.28,0.27,0.29,0.72,0.71,0.73,1,2026-01-06 03:21:33.933674+00:00
2026-01-06T03:21:34.547000+00:00,1767669694547,XRP,xrp-updown-15m-1767669300,0.28,0.27,0.29,0.72,0.71,0.73,1,2026-01-06 03:21:34.920931+00:00
2026-01-06T03:21:35.787000+00:00,1767669695787,XRP,xrp-updown-15m-1767669300,0.28,0.27,0.29,0.72,0.71,0.73,1,2026-01-06 03:21:35.938471+00:00
2026-01-06T03:21:36.864000+00:00,1767669696864,XRP,xrp-updown-15m-1767669300,0.28,0.27,0.29,0.71,0.7,0.72,1,2026-01-06 03:21:36.918131+00:00
